HEINEKEN Russia,Data Scientist,з/п не указана,1–3 года,"Полная занятость, полный день",[],"Требуемый опыт работы: 1–3 годаПолная занятость, полный день







Международная пивоваренная компания HEINEKEN – это более 80 тысяч талантливых и энергичных сотрудников, которые работают практически во всех странах мира. Наши самые известные бренды - Heineken, Krusovice, Amstel, Gösser, Tiger, Strongbow, Охота, Три Медведя. Отдел систем бизнес анализа (Business Intelligence, BI) ищет в свою команду Data Scientist для активного участия в развитии возможностей работы с данными и аналитикой в Компании в цифровую эпоху. Если Вы умеете и готовы:  Находить в данных любого объема и сложности инсайты, на основании которых бизнес может принимать решения; Разрабатывать инструменты интеллектуального анализа данных для решения задач оптимального распределения ресурсов и управления прибыльностью продаж; Уверенно и понятно представлять результаты сложного анализа стейкхолдерам любого уровня; Эффективно работать в динамичной среде, быстро адаптироваться к изменениям и брать ответственность за свою работу и ее результаты. Бросать вызов идеям и методам, работая в команде талантливых профессионалов.  И у Вас есть:  Минимум 1 год опыта работы в похожей роли. Опыт решения бизнес-задач с помощью data science. Образование в области информатики/математики/физики/т.п. Уверенные знания и навыки анализа данных, машинного обучения, статистики, программирования. Уверенные знания SQL, Python и/или R. Отличные навыки коммуникации.  Помимо интересных задач мы готовы поделиться с Вами:  Конкурентную систему вознаграждения с ежегодным пересмотром заработной платы и бонусированием ДМС со стоматологией и телемедициной, а также возможность приобрести ДМС для близких по корпоративной цене Страхование жизни с первого дня работы, 24/7 по всему миру, включая Россию доплату к больничному листу до 100% оклада до 10 рабочих дней в году Программу поддержки сотрудников – это безлимитные бесплатные консультации с психологами, юристами, финансовыми консультантами и специалистами по ЗОЖ Корпоративную программу привилегий PrimeZone – это тысячи партнеров по всей стране с лучшими скидками и выгодными предложениями Компенсацию питания (для сотрудников, работающих на заводе) и корпоративную мобильную связь Разнообразные программы обучения и развития, включая доступ к одной из самых больших онлайн систем обучения в мире  Присоединяйтесь или рекомендуйте друзьям! 



",https://hh.ru/vacancy/47675696?from=vacancy_search_list&query=Data%20scientist
ООО Строительный Двор,Data Scientist (Middle),от 140 000 до 160 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Python', 'Machine Learning', 'Pandas', 'SQL', 'Numpy', 'Big Data', 'NLP', 'Sas']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньСтроительный Двор - крупнейший поставщик строительных и отделочных материалов с 1993 года!19 городов,100 розничных магазинов, более 4 000 сотрудников.   Ищем специалиста в области Data Science и Machine Learning для решения задач в ритейле,e-commerce. Среди задач – прогнозирование спроса на товары и объема складских остатков, выявление паттернов поведения пользователей сайта, создание рекомендательных и поисковых алгоритмов, распознавание изображений и видео, обработка и анализ текстовых данных, динамическое ценообразование, парсинг открытых данных и др. Приветствуются умение работать в команде, стрессоустойчивость, умение объяснить полученные результаты, желание развиваться в области Data Science и Machine Learning.   Обязанности:    Извлечение сырых данных, написание запросов к разнородным СУБД; Обработка данных – очистка, обогащение, проверка качества; Построение моделей машинного обучения (прогноз, классификация, кластеризация и т.п.); Внедрение построенных моделей в виде интеллектуального компонента для микросервисов, выполняющих бизнес-задачи; Выявление закономерностей в данных и описание их в виде аналитических отчетов; Проверка гипотез от бизнеса на данных; Презентация результатов работы бизнесу.  Требования:  Высшее техническое/экономическое образование; Опыт работы Data Science/Machine Learning от 2х лет; Знание математической статистики, теории вероятностей, основ математического анализа и векторной алгебры; Знание одного из языков программирования– R, Python, SAS Base; Знание SQL; Знание основных моделей машинного обучения (для прогнозирования, классификации, кластеризации).  Условия:  официальное трудоустройство в штат компании с первого рабочего дня; официальную ""белую"" заработную плату, уровень обсуждается на собеседовании; 39-часовую рабочую неделю, возможна периодическая удаленная работа; систему адаптации и наставничества; комфортный офис (удобные переговорки, слип боксы, кофе-зоны); корпоративы, тимбилдинги, дни настольных игр; дополнительный официальный день отпуска за каждый год работы в компании;    Узнать больше о компании можно на нашей странице в Instagram @sdvor_it.Ключевые навыкиPythonMachine LearningPandasSQLNumpyBig DataNLPSas",https://hh.ru/vacancy/47765295?from=vacancy_search_list&query=Data%20scientist
ООО Портал,Data scientist (ML разработчик),з/п не указана,1–3 года,"Полная занятость, полный день",[],"Требуемый опыт работы: 1–3 годаПолная занятость, полный деньОбязанности:  Решение задач распознавания и классификации графических образов в видеопотоке с помощью нейронных сетей Выдвижение и проверка гипотез с помощью машинного обучения для решения задач видеоаналитики (производство, безопасность, ритейл) Обучение нейронных сетей и формирование первичных проверочных датасетов Написание production-кода модулей видеоаналитики  Требования:  Понимание и практический опыт использования нейронных сетей Инструменты: Python, C++, Tensorflow (Keras), Darknet Математика: статистика, теория вероятностей, математический анализ, линейная алгебра Инициативность, желание развиваться в области нейронных сетей и машинного обучения  Условия:  Заработная плата по результатам собеседования Оформление по ТК РФ, корпоративный ДМС Просторный офис с отличным видом на город АдресПермь, улица Куйбышева, 95БПоказать на большой карте",https://hh.ru/vacancy/47916474?from=vacancy_search_list&query=Data%20scientist
ООО Медицинские Скрининг Системы,Специалист Computer Vision (Senior Data Scientist),от 180 000 до 300 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Английский\xa0— B1 — Средний', 'pytorch', 'data science', 'tensorflow', 'gun', 'deep learning']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньВозможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИПВозможна подработка: сменами по 4-6 часовЕсли вы хотите решать интересные задачи в области анализа медицинских изображений, умеете тренировать резнеты, денснеты и прочие эффишентнеты, обожаете вносить безумные кастомные изменения в существующие архитектуры - мы были бы рады видеть вас в команде Цельса! Вакансия подразумевает релокацию в г. Санкт-Петербург. В некоторых случаях возможна удаленная работа. Мы ищем тех, кто  хочет работать в энергичной, слегка чокнутой команде не боится рисковать и принимать важные решения умеет слушать чужие мнения и не стесняется высказывать своё готов работать в условиях не до конца сформированного, хаотичного рынка медицинских AI-технологий не падает в обморок при виде рентгеновских снимков и готов регулярно впитывать сакральные медицинские знания от врачей  Наши проекты:  Маммография - детектирование злокачественных и доброкачественных образований на снимках молочной железы. Мы - первая команда, прошедшая в продуктовый контур Эксперимента по использованию сервисов на основе технологий ИИ в системе здравоохранения города Москвы. Флюорография - классификация и сегментация патологических изменений грудной клетки. Удивительно, но и здесь мы первые (и пока единственные), кто работает в рамках московского эксперимента. КТ лёгких - сегментация злокачественных образований и признаков COVID-19. Гистологические исследования - сегментация областей интереса  Наш основной стек:  Работа с данными - Supervisely, S3, Minio, DVC Разработка - PyTorch, Redis, Celery Менеджмент экспериментов - trains AI CI/CD - Azure Pipelines, Docker, Kubernetes Мониторинг - Sentry, Prometheus, Grafana  Мы предлагаем:  180-300 senior (net) Офис в самом центре(БЦ класса А - площадь восстания), доступ 24/7, головной офис компании - в Калуге (возможны командировки при желании) Полный рабочий день, гибкий график. Релокация в Санкт-Петербург. Рассматривается удаленная работа. Собственный сервер для обучения (4 x RTX 8000 48GB)  Требования:  Владение Python, PyTorch, Docker на уверенном уровне Опыт разработки, деплоя, мониторинга, дообучения DL-пайплайнов Опыт работы с задачами детекции и сегментации, знание основных метрик в этих задачах Умение вносить кастомные изменения в архитектуре на основе прочитанных статей Знание английского на уровне, достаточном для комфортного чтения статей и блогов  Плюсом будет:  Опыт использования классических CV-методов Опыт работы с медицинскими данными, знание формата DICOM Навыки в оптимизации скорости инференса DL-моделей (TensorRT, конвертация моделей между фреймворками) Знакомство с GANами, unsupervised learning, NLP Ключевые навыкиАнглийский — B1 — Среднийpytorchdata sciencetensorflowgundeep learning",https://hh.ru/vacancy/48577771?from=vacancy_search_list&query=Data%20scientist
ЭкспрессДеньги,Data Scientist,от 100 000 руб. до вычета налогов,1–3 года,"Полная занятость, гибкий график","['Анализ рисков', 'ETL', 'Big Data', 'Системный анализ', 'Математическое моделирование']","Зоны ответственности:  Разработка и повышение эффективности кредитной скоринговой модели Анализ предметной области (управление кредитными рисками) Разработка метрик для мониторинга кредитного скоринга Построение dataflow c использованием Apache Beam  HardSkills:  Коммерческий опыт построения предсказательных моделей более 1 года Опыт использования языка Python более 1 года Опыт работы с пакетами Pandas, NumPy, sklearn, XGBoost, Apache Beam Опыт работы с различными базами данных (знание SQL запросов) Знание и понимание алгоритмов машинного обучения Знание и понимание математического моделирования и математического анализа  Плюшки:  Премии на основе совместно утвержденного KPI Офис на 67-ом этаже Башни Федерация (Москва-сити) Панорамные виды на Москву Пешая доступность от м. Деловой центр 10 000 ₽/мес на снеки и напитки в офисе Оформление по ТК РФ с белой зарплатой, оплачиваемые больничные, отпуска Гибкое начало рабочего дня Удобные рабочие места (столы с электро-регулировкой высоты) Оплачиваем курсы, книги, лекции, конференции Ускоренный карьерный рост Корпоративные мероприятия  Дополнительные инструкции Приветствуется:  Опыт построения коммерческих моделей кредитного скоринга Ключевые навыкиАнализ рисковETLBig DataСистемный анализМатематическое моделированиеАдресДеловой центр, Деловой центр, Международная, Москва, Пресненская набережная, 12Показать на большой карте",https://hh.ru/vacancy/47771100?from=vacancy_search_list&query=Data%20scientist
ООО Медицинские Скрининг Системы,Специалист Computer Vision (Senior Data Scientist),от 180 000 до 300 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Английский\xa0— B1 — Средний', 'pytorch', 'data science', 'tensorflow', 'gun', 'deep learning']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньВозможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИПВозможна подработка: сменами по 4-6 часовЕсли вы хотите решать интересные задачи в области анализа медицинских изображений, умеете тренировать резнеты, денснеты и прочие эффишентнеты, обожаете вносить безумные кастомные изменения в существующие архитектуры - мы были бы рады видеть вас в команде Цельса! Вакансия подразумевает релокацию в г. Санкт-Петербург. В некоторых случаях возможна удаленная работа. Мы ищем тех, кто  хочет работать в энергичной, слегка чокнутой команде не боится рисковать и принимать важные решения умеет слушать чужие мнения и не стесняется высказывать своё готов работать в условиях не до конца сформированного, хаотичного рынка медицинских AI-технологий не падает в обморок при виде рентгеновских снимков и готов регулярно впитывать сакральные медицинские знания от врачей  Наши проекты:  Маммография - детектирование злокачественных и доброкачественных образований на снимках молочной железы. Мы - первая команда, прошедшая в продуктовый контур Эксперимента по использованию сервисов на основе технологий ИИ в системе здравоохранения города Москвы. Флюорография - классификация и сегментация патологических изменений грудной клетки. Удивительно, но и здесь мы первые (и пока единственные), кто работает в рамках московского эксперимента. КТ лёгких - сегментация злокачественных образований и признаков COVID-19. Гистологические исследования - сегментация областей интереса  Наш основной стек:  Работа с данными - Supervisely, S3, Minio, DVC Разработка - PyTorch, Redis, Celery Менеджмент экспериментов - trains AI CI/CD - Azure Pipelines, Docker, Kubernetes Мониторинг - Sentry, Prometheus, Grafana  Мы предлагаем:  180-300 senior (net) Офис в самом центре(БЦ класса А - площадь восстания), доступ 24/7, головной офис компании - в Калуге (возможны командировки при желании) Полный рабочий день, гибкий график. Релокация в Санкт-Петербург. Рассматривается удаленная работа. Собственный сервер для обучения (4 x RTX 8000 48GB)  Требования:  Владение Python, PyTorch, Docker на уверенном уровне Опыт разработки, деплоя, мониторинга, дообучения DL-пайплайнов Опыт работы с задачами детекции и сегментации, знание основных метрик в этих задачах Умение вносить кастомные изменения в архитектуре на основе прочитанных статей Знание английского на уровне, достаточном для комфортного чтения статей и блогов  Плюсом будет:  Опыт использования классических CV-методов Опыт работы с медицинскими данными, знание формата DICOM Навыки в оптимизации скорости инференса DL-моделей (TensorRT, конвертация моделей между фреймворками) Знакомство с GANами, unsupervised learning, NLP Ключевые навыкиАнглийский — B1 — Среднийpytorchdata sciencetensorflowgundeep learning",https://hh.ru/vacancy/48577772?from=vacancy_search_list&query=Data%20scientist
"Иннотех, Группа компаний",Data Scientist (СМБ/КИБ),з/п не указана,1–3 года,"Полная занятость, полный день","['Python', 'SQL', 'Machine Learning', 'Spark', 'Обучение и развитие', 'Hadoop']","Требуемый опыт работы: 1–3 годаПолная занятость, полный день






Иннотех — молодая группа компаний с большими амбициями и интересными задачами. Мы являемся технологическим партнером Банка ВТБ, для которого осуществляем разработку и поддержку сервисов, продуктов и платформ. В наших ближайших планах:  стать международной компанией, выйти далеко за пределы СНГ стать продуктовой компанией, собрать один из лучших мировых портфелей продуктов в банковском секторе стать одной из крупнейших российских IT-компаний  На масштабное направление под развития графа связанности юридических лиц банка ВТБ ищем Аналитика данных: Обязанности:  Наполнение графа на основе внутренних и внешних источников. Поиск новых типов связей Выделение групп связанных лиц Исследование связанных сущностей (fraud detection, поиск оптимальных поручителей, влияние связанных компаний на платежеспособность клиентов и многое другое) Построение графовых эмбеддингов По мере развития графовой платформы перечень задач будет расширяться  Требования:  Наличие успешно завершенных проектов. Практический опыт реализации полного цикла разработки модели от идеи до внедрения Инициативность – необходимо предлагать новые идеи по используемым алгоритмам и определять бизнес задачи, где можно построить модели с применением ML Уверенное знание математики, статистики и машинного обучения Знание Python и классического ML-стэка (pandas, numpy, scikit-learn, xgboost) Знакомство с DL фреймворками (pytorch или tensorflow) Опыт работы/исследований в Knowledge Graph Знание графовых нейросетевых архитектур (GCN, GraphConv, GAT и т.д.) Знакомство с библиотеками для работ с графовыми сетями, например, PyTorch Geometric Знакомство с графовыми БТ (ArangoDB будет плюсом) опыт работы с Hadoop/Spark  Условия:  Разработка уникального софта (используем передовое производственное железо) Работа в команде профессионалов, кросс-командное развитие  Программы развития для прокачки ваших компетенций, участие в развивающих ивентах и обучающих программах (Митапы, TechTalks, Хакатоны)  Здоровье наших сотрудников (ДМС со стоматологией, телемедицина, психологическая поддержка, страхование жизни) 


Ключевые навыкиPythonSQLMachine LearningSparkОбучение и развитиеHadoop",https://hh.ru/vacancy/48494343?from=vacancy_search_list&query=Data%20scientist
Ozon Express,"Руководитель группы Data scientist, Ozon Express",з/п не указана,3–6 лет,"Полная занятость, полный день","['Python', 'SQL', 'ClickHouse', 'Big Data', 'data science', 'IT', 'Hadoop', 'Spark']","Требуемый опыт работы: 3–6 летПолная занятость, полный день




Ozon — одна из крупнейших российских e-commerce компаний. Мы начали строить бизнес в 1998 году — когда рунету было четыре года.
Успешный e-commerce — это давно не сайт с картинками, а технологическая компания. Чтобы миллионы пользователей могли делать сотни тысяч заказов в день и получать их вовремя, нужна ИТ-инфраструктура, которая способна все это поддерживать, да еще и с мощной инфраструктурой логистики.
В технологической лаборатории Ozon уже больше 1600 сотрудников — и мы продолжаем расти. У нас 7 фулфилмент-фабрик площадью 227 тысяч квадратных метров по полу, 43 сортировочных центра и более 10 тысяч точек выдачи заказов по всей стране.
Мы верим, что можем изменить подход к совершению покупок — сделать жизнь миллионов людей проще и удобнее, освобождая время для себя и своих близких и стремимся делать лучший в России e-commerce. Приходи делать его вместе с нами!


Ozon Express – одно из самых перспективных и быстроразвивающихся направлений компании, которое является сервисом быстрой доставки свежих продуктов питания, бакалеи, детских товаров, товаров для дома и зоотоваров по Москве и Подмосковью. Что вам предстоит:   Руководить группой data scientists;   Разрабатывать механизмы оптимизации затрат и прогнозирования спроса;   Развивать рекомендательные системы;   Оптимизировать системы логистики.   Что мы ожидаем от вас:   Высшее математическое или техническое образование;   Опыт в области data science от 3-х лет;   Уверенный навык работы с аналитическими пакетами Python (pandas, numpy, sklearn, matplotlib, seaborn, lightgbm/xgboost/catboost);   Знание SQL, Hadoop и Spark;   Отличное знание ML алгоритмов и владение основными концептами ML;   Знание Git, AirFlow;   Опыт вывода моделей в продакшн.   Будет плюсом:  Опыт работы с Vertica, ClickHouse; Опыт работы с Docker; Опыт построения логистических моделей (перевозки, доставки, логистика склада).  Что мы предлагаем:  Динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке e-commerce; Свободу действий в принятии решений; Достойный уровень заработной платы; Профессиональную команду, которой мы гордимся; Возможность развиваться вместе с нашим бизнесом. 



А ещё:

Здоровье: объёмный пакет ДМС со стоматологией; страхование от несчастных случаев; полис выезжающих за рубеж; подарочный сертификат при рождении ребенка; консультации психолога, врач в офисе.
Развитие: наши сотрудники участвуют в конференциях, мы оплачиваем обучение. У нас есть корпоративная офлайн-библиотека, доступ к онлайн-библиотеке MyBook и к образовательным онлайн-платформам Coursera и Eduson.
Корпоративные программы: скидки на английский язык от SkyEng и Флоу, дисконтная карта Москва Сити CityPass, помощь в ипотеке и рефинансировании от Refin Online и Ипотека.Центр, покупки в SimpleWine, акции от Эталон и Донстрой, платформа скидок SpotyGo и многое другое; зарплатные проекты Райффайзенбанк и Сбербанк (мобильные банкиры в офисе), АльфаБанк, ГазпромБанк, Тинькофф, ВТБ банк, МТС банк; Программа «Приведи друга» и «Откликнись сам».
Социальная ответственность: материальная помощь, подарочные сертификаты при рождении ребенка.
Питание: можно перекусить на оборудованных кухнях (завтраки, фрукты, овощи, сэндвичи), в офисе расположены вендинговые автоматы со здоровой едой. Вечером вас ждут аппетитные ужины. *
Офис: просторный open space с панорамными видами и местами для отдыха и социальной инфраструктурой. В офисе ведут прием врач-терапевт и психолог. *
Спорт: беговой, волейбольный и футбольный клубы, йога в офисе; скидки на клубные карты фитнес-сетей World Class, X-fit, 5 элемент, Fitmost.

* пока действует только для московского офиса



Ключевые навыкиPythonSQLClickHouseBig Datadata scienceITHadoopSparkАдресВыставочная, Деловой центр, Деловой центр, Москва, Пресненская набережнаяПоказать на большой карте",https://hh.ru/vacancy/45628833?from=vacancy_search_list&query=Data%20scientist
"Компания «СПОРТМАСТЕР», SM Lab",Аналитик-разработчик / Data scientist (Middle/Senior),з/п не указана,1–3 года,"Полная занятость, удаленная работа","['Python', 'SQL']","Требуемый опыт работы: 1–3 годаПолная занятость, удаленная работа










                «Спортмастер» — международная сеть спортивных магазинов качественного инвентаря для фитнеса, летних и зимних видов спорта, а также товаров для активного отдыха.
            


            За этой огромной сетью стоит большое
            IT-подразделение, в котором сейчас трудятся более 1000 специалистов. В 2019 году оно окончательно оформилось в
            «Sportmaster Lab». Мы поддерживаем работоспособность наших сайтов, допиливаем приложения, дополняя его все новыми и новыми фичами, и стараемся открыто рассказывать о своей работе.
        

            Сейчас мы находимся на этапе создания продуктовых команд, внедряем современные подходы к разработке, любим agile & devops.
        


В компанию требуется специалист уровня middle / senior на позицию Аналитик-разработчик / Data scientist в Департамент анализа данных и машинного обучения. Наш департамент проектирует и создает data сервисы, которые помогают оптимизировать взаимодействие с клиентом или внутренние процессы компании. Примеры проектов: рекомендательная система, NLU модуль диалоговой системы, прогнозирование продаж, поисковый движок и пр. Чем вам предстоит заниматься:  Разрабатывать и поддерживать процессы по сбору и преобразованию данных, в том числе feature engineering; Исследовать данные, тестировать гипотезы, готовить визуализацию результатов; Создавать прототипы алгоритмов, готовить демо для заказчиков; Сопровождать инженеров при внедрении прототипов в prod;  Мы ждём от наших будущих коллег:  Высшее техническое образование (или учитесь на старших курсах); Уверенное владение SQL (join, group by, having, оконные функции); Опыт программирования на Python; Аналогичный опыт работы в течение 2 лет; Опыт работы с системами контроля версий; Знание основ статистики;  Будет плюсом:  Опыт работы в кросс-функциональных командах; Умение переводить бизнес-цели в технические задачи;  Мы предлагаем:  Удаленный формат работы, 1-2 дня в неделю работаем из офиса; График работы: 5/2; 8.00-17.00, 9.00-18.00 или 10.00-19.00 (на выбор); Зарплата ( 2 раза на карту) + Полугодовые премии; ДМС - после испытательного срока; Дисконтная карта на продукцию 30% магазинов сети + корпоративные скидки и специальные условия от партнеров; Обучение - доступно внутреннее и внешнее обучение, проводим внутренние митапы, техтолки, посещаем профильные конференции; 







москва





Липецк





Краснодар





Новосибирск










































































































Ключевые навыкиPythonSQL",https://hh.ru/vacancy/48252917?from=vacancy_search_list&query=Data%20scientist
Digital Kitchen (ООО Цифровая кухня),Senior Data Scientist NER,от 150 000 до 250 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Data Science', 'Python', 'NER', 'NLP']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньМолодая ИТ-компания. Разрабатываем собственные коробочные решения в сфере конкурентной разведки. Занимаемся сбором обширной информации из открытых источников, а также создаём инструменты для её обработки и визуализации. Мы - небольшая команда профессионалов, увлечённых своим делом. Решения в команде принимаются с учетом каждого мнения. Конечная цель — продукт мирового уровня, который будет помогать бизнесу других людей. Наш офис расположен на территории технополиса ЭРА в городе-курорте Анапе (Краснодарский край). В перспективе планируем открыть дополнительный офис в Москве. Удалённое сотрудничество на данный момент не рассматриваем. Мы ищем инженера по машинном обучению, который:  имеет опыт решения задач NER для русского языка не менее 2 лет; понимает принципы ML/DL, базовых алгоритмов машинного обучения и архитектур нейронных сетей для решения задач NLP; уверенно владеет Python, включая опыт работы с популярными библиотеками (Pandas, TensorFlow, PyTorch, spaCy и др.); способен оценить качество построенной модели, плюсы/минусы той или иной метрики под конкретную задачу; знает как настроить и использовать Linux для обучения моделей, в т.ч. на GPU; знаком с Git.  Что предстоит делать:  разрабатывать модель NER сначала на русском, а затем на английском и других языках; документировать результаты своей деятельности.  В свою очередь, мы предлагаем:  современный и комфортный офис, с видом на море; топовую комплектацию и эргономику рабочего места;  зона отдыха с диванами;   кухонная зона, зерновой кофе;   гибкий график рабочего дня;   столовая на территории технополиса.  Ключевые навыкиData SciencePythonNERNLPАдресАнапа, Пионерский проспект, 41Показать на большой карте",https://hh.ru/vacancy/48514903?from=vacancy_search_list&query=Data%20scientist
