RollerAds,Middle / Senior Go Developer,от 200 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Go', 'MySQL', 'Clickhouse', 'Golang']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньВозможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИПRollerAds — международная Ad-Tech компания, работающая в сфере интернет-маркетинга. Уже 2 года мы помогаем паблишерам успешно монетизировать свои сайты, а рекламодателям — получать качественный трафик. Мы команда из спецов в рекламе и сильного отдела разработки. Сейчас мы в поисках Software Engineer для развития нашей платформы. У нас есть большое количество сервисов, написанных на Go, задеплоенных в k8s и огромное количество траффика - до 700 000 запросов в секунду. Чем предстоит заниматься?  Участвовать в проектировании и разработке сервисов; Разрабатывать алгоритмы ротации рекламы, а также алгоритмы защиты от рекламных ботов; Улучшать обход базы с подписчиками на рекламу; Оптимизировать скорость ответа сервисов и их пропускную способность; Уметь хранить и обрабатывать полученные события.  Что мы ожидаем от тебя?  Уверенные знания Go. Опыт других языков с GC будет плюсом; Понимание работы стека TCP/IP; Способность написать сложные SQL запросы. Мы используем MySQL и Clickhouse; Опыт работы с распределенными KV-хранилищами(aerospike, cassandra, scylla, etcd); Желание работать в команде.  От нас:  Возможность работать в офисе, гибридно или полностью удалённо; Гибкое начало дня 11:00-12:00; Оформление по ТК или как ИП; Комфортабельный офис А-класса в шаговой доступности от станций метро Горьковская, Чкаловская, Спортивная; Команда из сильных разрабов, готовых делиться опытом; Ключевые навыкиGoMySQLClickhouseGolangАдресСанкт-Петербург, Большая Пушкарская улица, 22Показать на большой карте",https://hh.ru/vacancy/48379276?from=vacancy_search_list&query=go
ООО Соушиал Линкс,Python/Go backend developer (middle),з/п не указана,1–3 года,"Частичная занятость, удаленная работа","['Python', 'Django Framework', 'PostgreSQL', 'Git', 'MongoDB', 'go', 'Go']","Требуемый опыт работы: 1–3 годаЧастичная занятость, удаленная работаВозможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИПМы Social Links - мировой лидер в разработке B2B и B2G SaaS решений для проведения расследований по открытым данным (OSINT). Наши приоритетные рынки - это EU и USA, хотя у нас есть пользователи на всех континентах, в 56 странах мира. В Social Links мы меняем основную парадигму OSINT и стремимся сделать использование открытых данных не сложнее заказа пиццы и вызова такси, показав их ценность для всех секторов бизнеса и государственных структур. Уже 5 лет мы стремительно развиваемся и растем, и сейчас мы ищем амбициозного, активного и самостоятельного человека на позицию Middle/Senior Go + Python Backend Developer. Обязанности:   Проектировать и реализовывать новую функциональность продукта;   Проводить модульное и интеграционное тестирование;   Искать и оптимизировать узкие места в системе;   Выявлять и исправлять ошибки;   Вести документацию API и внешних интеграций;   Ожидания:   1.5 + лет опыта работы с Go и Python (3.7+, asyncio);   Опыт работы с Django и Django REST Framework;   Опыт работы с PostgreSQL и MongoDB;   Знание Git;   Самодисциплина, пунктуальность, ответственность;   Что мы предлагаем:   Удаленный формат работы;   Стабильная оплата труда;   Работа в сплоченной Scrum-команде с участием в принятии решений;   Возможность профессионального роста;   Свободный график с фокусом на результат;    Ключевые навыкиPythonDjango FrameworkPostgreSQLGitMongoDBgoGoАдресКалужская, Москва, улица Бутлерова, 17Показать на большой карте",https://hh.ru/vacancy/47731920?from=vacancy_search_list&query=go
ООО ЛТА,Go разработчик,от 150 000 до 200 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Golang', 'Git', 'Linux', 'PostgreSQL', 'Go', 'WebSocket', 'ClickHouse', 'REST']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньВ стартап по разработке платформы для автоматизации технологических процессов (АСУ ТП) требуется Go-разработчик на условиях full time удаленной работы. Технологический стек серверной части: Go (fasthttp), PostgreSQL, ClickHouse, Linux. В компании сильный упор на качественное автоматизированное тестирование всех видов (unit, интеграционное, нагрузочное). Обязанности:   Разработка информационной системы.  Участие в проработке архитектурных вопросов.  Требования:   Хорошее знание и опыт коммерческой разработки на Golang от 2 лет.     Понимание принципов разработки эффективных многопоточных приложений.     Опыт разработки REST и WebSocket сервера.   Умение тестировать свой код.     Опыт работы с PostgreSQL, плюсом будет опыт работы с ClickHouse.     Опыт работы с git.   Опыт работы с linux, работа из командной строки.   Умение читать документацию на английском языке.   Условия:   Оформление по ТК РФ.   Удаленная работа.    Ключевые навыкиGolangGitLinuxPostgreSQLGoWebSocketClickHouseREST",https://hh.ru/vacancy/48576387?from=vacancy_search_list&query=go
АСКОН,Go-developer,от 140 000 руб. на руки,1–3 года,"Полная занятость, удаленная работа",[],"Требуемый опыт работы: 1–3 годаПолная занятость, удаленная работа





С каждым годом число заказчиков C3D Labs растёт, и в этом нет ничего удивительного. Ведь мы знаем, как устроена САПР. И мы готовы делиться этим знанием с вами!  Мы по-настоящему любим свой продукт и искренне верим, что общими усилиями сможем сделать его ещё лучше!


C3D Labs — дочерняя компания ГК АСКОН (создаёт и продвигает программные модули для разработки инженерного ПО, в частности, ядро геометрического моделирования C3D) в связи развитием нового проекта приглашает в команду Go-разработчика. Информация о проекте - https://c3dlabs.com/ru/blog/products/rasshiryaem-granitsy-c3d-vision-teper-i-veb-vizualizatsiya/ Удаленная форма сотрудничества или работа в офисе компании в Нижнем Новгороде.  Задачи: Разработка Backend-сервиса для движка трехмерной веб-визуализации C3D Web Vision (используемый стек технологий: Protocol Buffers, Go, TypeScript) Наши пожелания к кандидату:  Высшее техническое образование Знание шаблонов проектирования Опыт разработки клиент-серверных приложений Опыт проектирования и использования REST API, gRPC Опыт разработки в Linux Умение разобраться в имеющемся коде Самостоятельность в принятии решений Готовность работать в команде Дополнительным преимуществом кандидата будет владение С++11, STL  Условия:  Полная занятость в офисе C3D Labs в Нижнем Новгороде или удаленная работа по согласованию. Высокопрофессиональный коллектив. Сложные, интересные задачи. Соблюдение соц. гарантий, комфортные условия работы. Обучение английскому языку, профессиональные курсы и тренинги. Уровень заработной платы определяется по результатам собеседования. 


",https://hh.ru/vacancy/43757760?from=vacancy_search_list&query=go
"Hi, Rockits!",Senior Go developer,до 300 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Golang', 'Go', 'Kafka', 'SQL']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньИщем Golang разработчика в крупнейшую международную компанию, управляющую рисками финансовых организаций. Открыта позиция в нетривиальном отделе: Research. Отдел занимается исключительно новыми проектами и свежими технологиями. Именно в нем пробуется все новое и интересное и в случае успеха внедряется в основные продукты компании. Требования к кандидату  знание golang, а также go mod опыт применения отказоустойчивых очередей опыт работы с высоконагруженными системами и большими данными работа с базами данных: MySQL, PostgreSQL, NoSQL опыт проектирования баз, создание индексов, знание форм нормализации и профилирование запросов  Плюсом будет являться:  опыт написания тестов (unit, интеграционные) знание hadoop/kafka опыт проектирования/применения dwh  Также, приветствуется:  желание изучать/исследовать новые технологии и направления, выявлять их достоинства и недостатки, находить способы их эффективного применения  Предстоящие задачи:  разработка корпоративных высоконагруженных систем хранения и обработки больших объемов данных развитие и внедрение передовых технологий в корпоративные системы интеграция различных подсистем  Особенности работы:  возможность изучать передовые технологии и применять их на практике – не опция, а необходимость работа в сильной команде специалистов, которые решают аналогичные задачи на другом стеке технологий минимум рутинных задач  Условия  100% белая з.п, оформление по ТК РФ. годовой бонус (13 з.п.) ежегодная индексация заработной платы ДМС со стоматологией (софинансирование ДМС для супругов и детей) Страхование жизни и от несчастных случаев Фитнес в нашем БЦ (софинансирование) Возможность изучения английского языка в офисе компании с носителем Ключевые навыкиGolangGoKafkaSQL",https://hh.ru/vacancy/48525786?from=vacancy_search_list&query=go
Школково,Backend-разработчик - Go и микросервисы,до 140 000 руб. до вычета налогов,не требуется,"Полная занятость, полный день","['Golang', 'Git', 'Linux', 'Docker', 'Go', 'golang', 'backend', 'CI', 'REST', 'Gitlab', 'Gitlab CI', 'Continuous Integration', 'HTTP']","Требуемый опыт работы: не требуетсяПолная занятость, полный деньВнимание! На эту позицию мы набираем несколько людей. Поэтому если у вас мало опыта, но он всё же есть - не бойтесь и присылайте, что умеете и что делали. Обязанности:  Разработка и поддержка микросервисов на Go Выкатка микросервисов через GitLab CI и Docker Swarm Оптимизация существующих микросервисов и миграция их на новое API Контроль и поддержка работоспособности  Требования:  Знание Golang Базовые знания о Docker, Linux, Git MySQL Понимание HTTP, REST, JSON Удалённый формат не рассматривается  Дополнительные навыки:  Понимание микросервисного подхода Оптимизация запросов Оптимизация приложения по ресурсам Умение писать лёгкий и простой код Умение использовать паттерны только там, где это необходимо Понимать JavaScript, чтобы помогать Frontend-разработчикам с API-клиентами  Условия:  Пятидневка Офис на севере города с кофемашиной и отличной командой Мощный комп или ноут + дополнительный монитор Возможность развиться в направлении Работа в проекте, которым пользуется более 30 000 учеников по всей России  В сопроводительном письме обязательно покажите примеры работ, расскажите о своем опыте и своих целях.Ключевые навыкиGolangGitLinuxDockerGogolangbackendCIRESTGitlabGitlab CIContinuous IntegrationHTTPАдресТамбов, улица Чичерина, 62Показать на большой карте",https://hh.ru/vacancy/47757044?from=vacancy_search_list&query=go
Andersen,Go developer,з/п не указана,3–6 лет,"Полная занятость, гибкий график","['Английский\xa0— B1 — Средний', 'Golang', 'Английский язык', 'Docker', 'PostgreSQL', 'Go']","Требуемый опыт работы: 3–6 летПолная занятость, гибкий графикМеждународная аутсорсинговая IT-компания Andersen (andersenlab.com) в поиске Go Developer на масштабный эстонский проект в сфере Fintech. Заказчик - компания, разработавшая новый финтех-стартап, который находится в Таллинне и Эстонии. Их цель - представить Биткойн широким массам, раскрыть его потенциал как международной супервалюты. Мы приглашаем Вас присоединиться к проекту по разработке платежной сервис-площадки для покупки/продажи криптовалюты, с возможностью использования ее у сторонних партнеров, также возможностью выкупа партнерами полученной от клиента криптовалюты благодаря площадке по тому же курсу. Технологический стек: Go, Vue.js, Postgresql/MySql, Redis, Kafka, AWS, Kubernetes. Чем предстоит заниматься:   рефакторинг/преобразования кода;   участие в разработке архитектуры решения и структуры БД;   разработка сервисов на Golang;   участие в развертывании приложений (Kubernetes\Docker);   участие в код-ревью.   Для нас важно:   коммерческий опыт разработки на Go от 3-х лет;   навыки работы с СУБД - Postgresql/MySql, Redis;   опыт работы с облачной инфраструктурой AWS;   опыт работы с Kafka;   понимание работы Kubernetes;   уровень английского языка от Intermediate и выше.   Будет плюсом:    уверенные знания фреймворка Vue.js.   Нашим сотрудникам мы предлагаем:   возможность пообщаться с такими людьми как Александр Фридман, Сергей Гуриев, Екатерина Шульман на корпоративных мероприятиях - мы регулярно приглашаем гостей, встречи с которыми дают новую пищу для ума;   доступ к корпоративному обучающему порталу, где собран весь knowledge base компании и который постоянно обновляется. В нем можно пройти курсы на интересные для тебя темы: искусство переговоров, управление проектами, машинное обучение и анализ данных, курсы обучения практикам DevOps, языкам программирования, cloud-сервисам и др.;   медицинское страхование со стоматологией;   компенсацию стоимости спортивных абонементов;   гарантия профессионального, финансового и карьерного роста! В компании внедрены системы менторства и адаптации для каждого нового сотрудника, что позволит максимально комфортно и быстро влиться в коллектив и работу, а прозрачные системы performance review и assessment позволят определиться с путями развития в компании и спланировать свой рост;   участие в яркой корпоративной жизни компании;   возможность дополнительно заработать до 1500 USD в месяц, участвуя в активностях компании - на выбор 8 вариантов;   опыт работы в команде с лидерами в FinTech, Healthcare, Retail, Telecom и других. Среди наших текущих клиентов Siemens, TUI, Новый банк развития и более 20 других классных банков и финтех компаний, J&J и другие;   изучение английского языка прямо в офисе или online;   возможность сменить проект и/или развить экспертизу в интересном для тебя бизнес-домене;   работа где угодно - можно работать как удаленно, так и из офиса или же гибридная модель с 3 днями в офисе и 2 дня в неделю из дома.  Ключевые навыкиАнглийский — B1 — СреднийGolangАнглийский языкDockerPostgreSQLGo",https://hh.ru/vacancy/47910161?from=vacancy_search_list&query=go
МойОфис,Разработчик бекенда (Go),з/п не указана,3–6 лет,"Полная занятость, полный день","['Golang', 'Go', 'MongoDB', 'Redis', 'Docker']","Требуемый опыт работы: 3–6 летПолная занятость, полный день







Мы разрабатываем МойОфис — безопасные офисные решения для общения и совместной работы с документами. Московский центр разработки развивает продукты корпоративной линейки: электронную почту, календарь, контакты и службу каталогов. Нашими продуктами ежедневно пользуются сотрудники крупнейших компаний, государственных учреждений и образовательных организаций. Наш бекенд состоит из нескольких десятков микросервисов, общающихся между собой по GRPC, а с внешним миром – через различные гейтвеи (JSON-RPC, WS, IMAP, SMTP, CalDAV, CardDAV, LDAP). Слой хранения нашей системы включает в себя различные документоориентированные и графовые базы данных, а также объектное хранилище. Мы используем специальные техники, чтобы создавать self-healing софт, способный восстанавливать работоспособность системы после длительного периода инфраструктурных проблем. Мы требовательны к производительности и качеству выпускаемых продуктов и обеспечиваем их многоуровневое тестирование.В качестве бекенд-разработчика Go вам предстоит решать нетривиальные задачи, связанные с исследованием новых предметных областей, проектированием архитектуры сервисов, реализацией их бизнес-логики, а также писать юнит-тесты и документацию. Ваши будущие задачи:  разработка микросервисов на Golang (проекты: почта, календарь, контакты, каталог); проектирование архитектуры подсистем; проектирование и реализация API; создание действительно качественного кода (производительность, тесты, документация).  Используемые технологии: Go, GRPC, RethinkDB, ArangoDB, MongoDB, Redis, NATS, Docker, Kubernetes, Prometheus, Grafana. Для нас важно:  опыт серверной разработки от 3 лет; опыт разработки на Golang от 1 года; опыт конкурентного и асинхронного программирования; понимание эффективности применяемых алгоритмов; навыки работы в Linux среде; ответственность и достаточная самостоятельность; уверенность при работе с существующим кодом; английский язык на уровне чтения технической документации.  Будет плюсом:  опыт работы с noSQL базами данных; опыт реализации протоколов по англоязычным спецификациям; опыт работы с высоконагруженными и геораспределенными системами.  Мы предлагаем:  возможность работать в крупном, постоянно развивающемся проекте с нетривиальными задачами; современные подходы к архитектуре и технологический стек; возможность предлагать свои идеи и влиять на проект – проработайте идею с командой и она воплотится в жизнь; наращивать экспертизу - в нашей команде принято совершенствоваться и делиться знаниями, коллеги готовы рассказать и научить тому, в чем отлично разбираются; комфортную атмосферу – мы уважаем друг друга, открыты к общению на любые темы и ценим увлеченных людей; профильные курсы, корпоративный английский, участие в конференциях (в т.ч. спикером, если есть желание и готовность); приятный социальный пакет – ДМС со стоматологией, оплачиваемое питание, завтраки и перекусы в офисе, скидки от партнеров, спортивное приложение для тренировок; отсутствие строгого дресс-кода. 



Ждём тебя в нашей команде!


Ключевые навыкиGolangGoMongoDBRedisDocker",https://hh.ru/vacancy/46856445?from=vacancy_search_list&query=go
ООО МАКСБИТСОЛЮШЕН,Golang Developer,от 12 500 до 16 000 бел. руб. на руки,3–6 лет,"Полная занятость, удаленная работа","['PostgreSQL', 'Redis', 'Работа в команде', 'Scrum', 'Git', 'Failover Recovery']","Требуемый опыт работы: 3–6 летПолная занятость, удаленная работаMAXBITSOLUTION - IT-компания, создающая проекты в сфере iGaming. Мы разрабатываем высоконагруженные системы с использованием Vue.js, PHP, Ruby on Rails и Go, а также управляем трафикообразованием и лидогенерацией. Какие продукты мы создаем? Крупные развлекательные онлайн-проекты и приложения для iOS и Android. Наша команда активно растет, и мы приглашаем присоединиться к нам опытного Golang разработчика для реализации серверной части нашего продукта. Чем предстоит заниматься:   разработкой backend-приложения;  активно применять микросервисную архитектуру.   Нам нужен именно ты, если у тебя есть:   опыт разработки на Golang от 2-х лет и глубокое знание языка и экосистемы;   опыт разработки высоконагруженных приложений, опыт работы с микросервисами;   опыт реализации схем Failover Recovery;   опыт работы с базами PostgreSQL, Redis;   опыт написание юнит и блочных тестов.   Будет весомым преимуществом:   наличие open-source проектов;   умение пользоваться git flow;   опыт работы в гейм проектах;   понимание Docker, Ansible, Kubernetes;   умение писать простые скрипты на Lua.   Мы предлагаем:   работу в молодом и дружном коллективе;   безграничные возможности для профессионального роста и самореализации;   комфортное рабочее место в современном офисе с террасой в центральной части города;   оборудованную кухню с кофе, орехами, свежими фруктами и прочими вкусняшками;   современное техническое оснащение (мощное железо, дополнительные мониторы, и все, что нужно для работы);   курсы английского языка;   бесплатную парковку рядом с офисом;   3 sick days;   интересные корпоративные мероприятия.  Ключевые навыкиPostgreSQLRedisРабота в командеScrumGitFailover RecoveryАдресАкадемия наук, Площадь Победы, Минск, переулок Козлова, 25Показать на большой карте",https://hh.ru/vacancy/47472158?from=vacancy_search_list&query=go
ООО Айвокс Коммуникации,Go разработчик,з/п не указана,3–6 лет,"Полная занятость, удаленная работа","['Golang', 'Node.js', 'Git', 'ООП', 'WebRTC', 'Docker', 'Kubernetes', 'Android', 'iOS']","Требуемый опыт работы: 3–6 летПолная занятость, удаленная работаОбязанности:  Работа в команде увлеченных профессионалов по созданию современной Российской коммуникационной платформы для эффективного и удобного проведения онлайн-мероприятий;    Требования:  Опыт разработки backend части от 2 лет; Уверенные знания Go, Node.js, понимание возможностей масштабирования и узких мест; Знания реляционных БД и опыт оптимизации SQL запросов; Опыт работы с Kubernetes/Docker; Понимание технологии WebRTС приветствуется; Умение работать в команде (предлагать и обсуждать идеи, аргументировать свою позицию, слушать и понимать людей, договариваться); Опыт планирования собственных задач (оценка трудоемкости) приветствуется!    Условия:  Интересные, разнообразные задачи с высоким уровнем ответственности; Мы заботимся о здоровье сотрудников - ДМС; Обмен опытом в команде увлеченных профессионалов, а также обучение и развитие навыков опытными наставниками; Конкурентоспособная полностью «белая зарплата», без скрытых условий и «переменных частей»; Коллектив, который продуктивно работает и также отдыхает:); Удаленная работа/ Офис с прекрасной транспортной доступностью; Оформление с первого дня согласно ТК РФ; Прозрачная система карьерного и материального роста; Чай, кофе и сладости в офисе, все по канонам; Ключевые навыкиGolangNode.jsGitООПWebRTCDockerKubernetesAndroidiOS",https://hh.ru/vacancy/48565939?from=vacancy_search_list&query=go
ООО Акронис-Инфозащита,Go developer,з/п не указана,3–6 лет,"Полная занятость, полный день","['Python', 'Linux', 'PostgreSQL', 'ООП', 'Go', 'Golang', 'шаблоны проектирования', 'REST API', 'SQL']","Требуемый опыт работы: 3–6 летПолная занятость, полный деньКто мы такие?  Мы российская компания, занимающаяся разработкой ПО для защиты данных, резервного копирования и восстановления виртуальных, физических и облачных сред. Мы предоставляем масштабируемые решения мирового уровня по надежной киберзащите, быстрому восстановлению данных и работоспособности ИТ-инфраструктуры. Кого мы ищем? Мы ищем Go разработчика на два продукта – Акронис Защита данных, Акронис Защита данных облачная для российского рынка. Поддерживаются агенты для Windows (начиная с XPSP2), Linux, MacOS и Solaris. Чем предстоит заниматься?  Дизайном и разработкой новой функциональности (от анализа требований до презентации сделанной работы); Написанием автоматических и unit тестов; Поддержкой (оптимизация, исправление ошибок).  Что ожидаем от кандидата?  Более 3 лет опыта разработки на Go; Понимание принципов ООП, шаблонов проектирования; Уверенное знание стандартных алгоритмов и структур данных, а также механизмов синхронизации в многопоточных приложениях; Уверенные знания HTTP/Authentication/веб-сервисов/REST API; Уверенные знания Linux OS; Опыт работы с MySQL или PostgreSQL; Умение разобраться с чужим исходным кодом.  Будет плюсом:  Знание С++, Python; Опыт работы с DB clustering, consul, Docker+Kubernetes; Знание англ. языка на уровне Intermediate.  Мы предлагаем:  Работу в офисе в Москве, Иннополисе или удаленную/ частично удаленную занятость; Гибкий график работы с возможностью смещать начало рабочего дня; Интересные задачи и возможность присоединиться к команде профессионалов; Официальная зарплата, оформление по ТК РФ; ДМС с клиниками VIP-класса, в том числе на детей до 18 лет; Компенсация питания; Частичная компенсация фитнеса; Современная техника для работы; Корпоративный транспорт от метро Алтуфьево и Речной вокзал; Парковка на территории БЦ; Релокационный пакет ; Возможности профессионального роста и развития. Ключевые навыкиPythonLinuxPostgreSQLООПGoGolangшаблоны проектированияREST APISQL",https://hh.ru/vacancy/41591176?from=vacancy_search_list&query=go
