ООО Айти-услуги,Java - разработчик,з/п не указана,не требуется,"Полная занятость, полный день","['Spring Framework', 'Apache Maven', 'PostgreSQL', 'Git', 'JUnit']","Требуемый опыт работы: не требуетсяПолная занятость, полный деньКомпания «Айти-Услуги» – перспективная и быстро развивающаяся компания. Мы оказываем самый полный спектр услуг в области разработки и внедрения программного обеспечения для комплексных решений автоматизации управления бизнес-процессами предприятий всех отраслей народного хозяйства. Мы являемся разработчиками программного обеспечения для крупных клиентов в Российской Федерации, среди которых генерирующие и теплосетевые компании, энергосбытовые организации, водоканалы и другие компании жилищно-коммунального хозяйства. Мы осуществили более 15 успешных проектов внедрений системы в ИТ-инфраструктуру крупных энергетических компаний. Клиенты нашей компании: ПАО «ТГК -1», ЗАО «ТГК Уруссинская ГРЭС», Министерство строительства, АО «ЛОТЭК», МУП «Водоканал», ОАО «УК «ГСР Энерго», МП «Саранск - горводоканал», ООО «Тверская генерация». Гордость нашей компании - высококвалифицированные и опытные специалисты, способные быстро и качественно решать любые задачи. Благодаря их компетенциям наша компания на сегодняшний день имеет в своем арсенале широкий спектр ИТ-решений для бизнеса в различных сферах деятельности. Мы ищем в нашу дружную команду единомышленников, которым будет интересно принять участие в реализации крупных проектов и помочь миллионам пользователей. Компания «Айти-Услуги» – перспективная и быстро развивающаяся компания. Мы оказываем самый полный спектр услуг в области разработки и внедрения программного обеспечения для комплексных решений автоматизации управления бизнес-процессами предприятий всех отраслей народного хозяйства. Мы являемся разработчиками программных информационных средств для крупных клиентов в Российской Федерации, среди которых генерирующие и теплосетевые компании, энергосбытовые организации, водоканалы и другие компании жилищно-коммунального хозяйства. Мы осуществили более 15 успешных проектов внедрений системы в ИТ-инфраструктуру крупных энергетических компаний. Клиенты нашей компании: ПАО «ТГК -1», ЗАО «ТГК Уруссинская ГРЭС», Министерство строительства, АО «ЛОТЭК», МУП «Водоканал», ОАО «УК «ГСР Энерго», МП «Саранск - горводоканал», ООО «Тверская генерация». Гордость нашей компании - высококвалифицированные и опытные специалисты, способные быстро и качественно решать любые задачи. Благодаря их компетенциям наша компания на сегодняшний день имеет в своем арсенале широкий спектр ИТ-решений для бизнеса в различных сферах деятельности. Мы ищем в нашу дружную команду единомышленников, которым будет интересно принять участие в реализации крупных проектов и помочь миллионам пользователей. Что мы ждем от кандидата на вакансию «Java разработчик» (в новый проект) Технологии:  Java 11 Spring Boot/Spring Data/Spring Rest/JPA/Spring Security Gradle/Maven Junit Git Sql (Postgresql/Oracle) Rest, SOAP, Swagger  Требования:  знание Java, Spring framework знание ООП и паттернов проектирования опыт разработки высоконагруженных приложений и оптимизации кода знание SQL, (в частности PostgreSQL) проектирование схемы БД,оптимизация запросов. знание принципов построения систем на базе сервисной архитектуры умение работать с Rest API, понимание http   Чем предстоит заниматься:  разрабатывать/дорабатывать сервисные механизмы/слои интеграции со сторонними системами разрабатывать юнит и компонентные тесты   Почему стоит идти к нам?  это отличная возможность поработать в кругу опытных коллег, готовых поделится знаниями, получить высокий уровень экспертизы; мы работаем в тесном ежедневном взаимодействии с заказчиком, у нас много интересных, разнообразные и масштабных задач; у нас действительно теплая атмосфера, молодой коллектив, лояльное руководство;  Мы предлагаем  официальное трудоустройство и заработную плату (оклад обсуждается индивидуально и зависит от навыков кандидата); периодический пересмотр заработной платы в соответствии с профессиональным развитием, регулярное премирование; комфортные условия работы (уютный бизнес-офис, удобная парковка, полная компенсация питания, бесплатный спортзал в офисе и душ); оплату обучения и участие в профессиональных мероприятиях, тематических выставках, конференциях; социальные гарантии в соответствии с законодательством РФ; график работы 5/2 с 09.00-10:00 до 18.00-19:00, возможен гибкий график.     Ключевые навыкиSpring FrameworkApache MavenPostgreSQLGitJUnitАдресСамара, улица Авроры, 9Показать на большой карте",https://hh.ru/vacancy/48554128?from=vacancy_search_list&query=java
ООО Лаборатория 50,Java-разработчик,от 200 000 до 250 000 руб. на руки,3–6 лет,"Полная занятость, удаленная работа","['AutoCAD', 'PostgreSQL', 'Python', 'Java', 'Git']","Требуемый опыт работы: 3–6 летПолная занятость, удаленная работаВозможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИПВозможна подработка: сменами по 4-6 часов, по выходным или по вечерамКомпания «Лаборатория 50» уже 10 лет создает собственные продукты в области защиты информации и видеоаналитики. Нашими клиентами являются как государственные так и частные компании РФ. Кроме разработки собственных продуктов, компания активно развивает направление заказной разработки. Проект, в который мы ищем специалистов является заказным и связан с разработкой уникального решения по автоматизации проверок проектной документации на соответствие сводам правил. Вот лишь некоторые сведения: машинное обучение (Machine Lerning), работа с трехмерными моделями (BIM) - цифровыми двойниками зданий, SaaS модель распространения, интеграция с AutoCAD Наш ценностная система координат имеет две основных оси: сделать заказчику хорошо и Continuous Learning (непрерывное развитие). Мы ищем людей, которые разделяют нашу систему ценностей и готовы тратить своё время чтобы достичь как личного максимума так и максимизировать функцию компании. Чем предстоит заниматься  Решать инженерные задачи в области и средствами разработки программного обеспечения в условиях ограниченных сроков и бюджета  Анализировать исходные данные (требования, вводные, ограничения и т.п.) Проектировать решение Кодировать Проверять за собой Извлекать уроки как из отрицательного опыта, так и из положительного    Что надо знать и уметь:  Практические знания в объектно-ориентированном программировании. Опыт коммерческой разработки на Java (желательно Kotlin). Умение использовать Spring, PostgreSQL, React Базовые знание Javascript, Python Умение быстро разбираться и подключать сторонние библиотеки Умение работать с системой контроля версий (желательно git)  Будет плюсом:  Хороший уровень математической подготовки Знание основ нейронных сетей Знание основ работы с AutoCAD ( с т.з. программирования) Знание Kotlin Базовые навыки в DevOps. Опыт работы с Linux.  Условия:  Варианты трудоустройства в штат/срочный трудовой договор/ГПХ/договор подряда. Удаленная работа. Частичная/полная занятость (первое время, ориентировочно два месяца, частичная занятость, дальше 100% или по договорённости) Энергия драйва и стартапа, полное отсутствие «болота» старого кода Возможность поучиться у опытных специалистов, получивших свой опыт в таких компаниях как EPAM, Luxoft, Motorola, NetCracker, Mercury Development, Magenta, и работавших как над продуктами, так и в заказной разработке.   Ключевые навыкиAutoCADPostgreSQLPythonJavaGitАдресЛенинский проспект, Санкт-Петербург, Ленинский проспект, 140ИПоказать на большой карте",https://hh.ru/vacancy/48347914?from=vacancy_search_list&query=java
ООО Дунайс,Стажёр Java-разработчик,з/п не указана,не требуется,"Стажировка, полный день",[],"Требуемый опыт работы: не требуетсяСтажировка, полный деньКомпания Dunice ведет набор на стажировку по направлению ""Backend разработка на Java"". Хочешь научиться писать backend на Java? Тогда наша стажировка для тебя. После прохождения 10 недельного курса тебя ждет официальное трудоустройство Java разработчиком.   Условия стажировки: — Продолжительность стажировки 10 недель; — Рабочий день с 9-00 до 18-00.   На стажировке изучаются: — Java 11+; — Разработка высоконагруженных серверов, используя Spring, Spring boot; — Работа с базами данных используя JDBC, JPA, Hibernate; — Паттерны проектирования распределенных систем: SOLID, Dependency injections.   Тебя ждут: — Официальное трудоустройство по ТК РФ; — Стартовая зарплата - 23 000 рублей; — Прозрачная и понятная система роста - вместе со скиллами растет и зарплата; — Интересные проекты с зарубежными заказчиками; — Просторный офис в центре города (пер. Гоголевский).   Требования к кандидатам: — Понимание основ программирования; — Желание постоянного развития и изучения новых технологий.   Пройди собеседование и получи решение в тот же день! Количество мест ограничено!  АдресТаганрог, Гоголевский переулок, 6Показать на большой карте",https://hh.ru/vacancy/46551515?from=vacancy_search_list&query=java
7RedLines,Middle Java разработчик,от 150 000 до 200 000 руб. на руки,1–3 года,"Полная занятость, удаленная работа","['Hibernate ORM', 'PostgreSQL', 'Java', 'SQL', 'Spring Framework', 'Git']","Требуемый опыт работы: 1–3 годаПолная занятость, удаленная работаЗадачи:    Разработка на Java, фреймворк: Spring boot; Продумывание архитектуры и дизайна; Проектирование интерфейсов взаимодействия с другими системами; Взаимодействовать с другими членами команды; Работа по гибким методологиям разработки, включая DevOps.  Требования: Обязательно: — Опыт разработки от 2-х лет; — Java 8/11+; — Spring 5, Boot, MVC, Tx, Data JPA(Hibernate), Security, Actuator; — REST и представление о SOAP; — Lombok, Swagger; — Junit; — Liquibase/Flyway; — Опыт работы с РСУБД: PostgreSQL/MySQL и написания SQL запросов, представление о PL/pgSQL; — Представление о NoSQL: MongoDB, Redis; — Представление об очередях: RabbitMQ/ActiveMQ/Kafka; — GIT; — Maven/Gradle; — Работа с Docker/Kubernetes; — Знакомство c Jira/Confluence; — Представление о методологии SCRUM. Желательно: — Знакомство с NLU — Spring cloud — Consul — Elasticsearch — Знакомство с командной строкой *nix — GitLab CI/CD Условия:  Трудоустройство в штат на основании ТК; Удаленная работа по времени мск, любой город Уровень дохода в соответствии с навыками по результатам встреч. Ключевые навыкиHibernate ORMPostgreSQLJavaSQLSpring FrameworkGit",https://hh.ru/vacancy/48292277?from=vacancy_search_list&query=java
ЗАЗЕКС,Начинающий Java разработчик,от 30 000 руб. до вычета налогов,не требуется,"Полная занятость, полный день","['Git', 'Java Core', 'Spring', 'Java', 'Hibernate', 'Apache Maven', 'PostgreSQL', 'Hibernate ORM', 'Web', 'MySQL', 'MongoDB', 'Linux', 'ООП']","Требуемый опыт работы: не требуетсяПолная занятость, полный деньНаша компания занимается предоставлением полного спектра услуг по разработке ПО для заказчиков со всего мира.Компания состоит из двух офисов – девелоперский центр в Ростове-на-Дону (он же головной офис) и офис продаж в Мельбурне, Австралия.Мы предоставляем услуги web-разработки, мобильной разработки, десктопной разработки, разработки в области data science, проектирования, тестирования и создания графического дизайна. Мы приглашаем на работу Начинающего Java разработчика в web-отдел в головной офис в Ростове-на-Дону. Требования:    ответственность; техническое образование (допускается неоконченное); обучаемость; умение работать в команде; приветствуется наличие примеров Ваших проектов.  Обязательные скиллы:    Опыт работы с Linux системами (знание базовых команд ssh, grep, kill, wget, curl, tail и т.д); Понимание концептов работы сети; Базовые знания Java (методы, классы, интерфейсы, треды, Gradle/Maven); Regex, ООП, MVC; Система управления версиями Git; Знание одной из баз данных: MySQL, PostgreSQL, MongoDB.  Будет плюсом:    Знание методов авторизации; Кеширование; Spring; Hibernate.  Условия:  оформление согласно Трудовому Кодексу РФ; только крупные и сложные проекты; работа с инновационными технологиями, о которых другие компании боятся даже подумать; большое количество коллег по цеху, скучать не будете; система премирования (помимо указанного оклада выплачиваются ежемесячные премии согласно эффективности труда); оплачиваемые переработки для ""трудоголиков"" (9-й и 10-й час в день по тарифу 150%‚ 11-й и далее по тарифу 200%); возможность корпоративного обучения; полный соц. пакет; достойная заработная плата; уважительное отношение к сотрудникам; подвозка к месту работы/домой для жителей ЗЖМ; свой повар + своя столовая; большой, хороший‚ уютный офис в ""натуральном"" деревянном стиле с большим количеством зелени; неограниченная парковка для сотрудников компании; бесплатные снэки (перекусы); доступный досуг (настольный футбол‚ PlayStation VR‚ Sega Mega Drive 2, турник‚ брусья‚ электрогитара‚ басуха‚ пианино, массажное кресло Yamaguchi YA-6000, свежий воздух); офис вблизи транспортной развязки ""Квадро""; восьмичасовой рабочий день. Перерыв 1 час + два кофе-тайма по 15 минут; если вы дочитали до этой строчки, то вот вам бонус: фактическая зарплата, как правило, выше, чем указанная в вакансии; все вышеперечисленное - правда. Ключевые навыкиGitJava CoreSpringJavaHibernateApache MavenPostgreSQLHibernate ORMWebMySQLMongoDBLinuxООПАдресРостов-на-Дону, Обсерваторная улицаПоказать на большой карте",https://hh.ru/vacancy/47109400?from=vacancy_search_list&query=java
ООО АйТиКвик,Senior Java разработчик (удаленно),от 300 000 до 350 000 руб. до вычета налогов,3–6 лет,"Полная занятость, удаленная работа","['Git', 'Docker', 'PostgreSQL', 'Spring Framework', 'Java', 'MySQL']","Требуемый опыт работы: 3–6 летПолная занятость, удаленная работаВозможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИПО проекте: Реализация возможности заказа кредитной карты на сайте, позволит клиентам заказать карту без необходимости входа онлайн или посещения отделения банка. Создание и развитие слоя сервисов оркестрации бизнес процессов кредитных карт. Требования:  Опыт работы с: Spring (который должен включать опыт с одним из фреймворков: Core, MVC, Data, Boot, Security, AOP и др.) Gradle, JMS, JAX-WS, UML, Junit и наличие всего перечисленного ниже: IBM WAS/WildFly/Jetty/Tomcat (соответствие хотя бы по одному из перечисленных) Kafka/IBM MQ/IBM MB (соответствие хотя бы по одному из перечисленных) DB Oracle/PostgreSQL/MySql/NoSql (Mongo и/или Redis) (соответствие хотя бы по одному из перечисленных) DevOps стек (один из Jenkins, groovy, ansible, python, но не ограничиваясь) Git/SVN/Mercurial (соответствие хотя бы по одному из перечисленных) Микросервисная архитектура(Docker/OpenShift) Grafana/Zabbix/Splunk (соответствие хотя бы по одному из перечисленных).  Чем предстоит заниматься:  Поддержка генерации и отбора идей, оценка трудоемкости Декомпозиция и анализ задач бэклога Оценка трудоемкости задач Детальное проектирование интеграции со смежными сервисами (в том числе API) Разработка программного продукта, внесение изменений в код Разработка автоматических модульных тестов, автоматических скриптов и тестов развертывания Выполнение code review Сборка и развертывание разработанного решения на стенды разработки Документирование разрабатываемых компонентов ПО Устранение дефектов, тех.долга Ключевые навыкиGitDockerPostgreSQLSpring FrameworkJavaMySQL",https://hh.ru/vacancy/48014614?from=vacancy_search_list&query=java
BIV,Java Developer (Back-End разработчик),от 150 000 до 250 000 руб. на руки,1–3 года,"Полная занятость, удаленная работа","['Java SE', 'Java EE', 'REST', 'SOAP', 'Hibernate ORM', 'ORACLE', 'ООП', 'Microservices', 'Разработка микросервисов']","Требуемый опыт работы: 1–3 годаПолная занятость, удаленная работаBIV - разработчик ИТ-решений для федеральных страховых и финансовых компаний. Результатами нашего труда пользуются миллионы людей. Мы приглашаем разработчиков присоединиться к нашей команде, которая разрабатывает решения для автоматизации процессов в сфере Страхования. Если вас привлекает работа в дружной команде. Вы хотите быть в курсе того, что происходит в компании и видеть, что ваша работа приносит результат - вам к нам! Чем предстоит заниматься:  Работа в роли разработчика в Agile-команде Написание и поддержка сложных модулей, реализованных на Java Разработка микросервисов применение стандарта разработки: Quarkus (Microprofile), покрытие кода тестами Поддержка проектов (разработка, рефакторинг, hot-фикс) Оценка трудоемкости задач, участие в процессе планирования Участие в обсуждении идей и задач.  Для этого вам потребуется:  Отличное знание ООП, различных алгоритмов и структур данных Понимание микросервисной архитектуры Приветствуется наличие опыта работы с Wildfly, Quarkus/ Spring, RabbitMQ Умение писать unit-тесты Наличие опыта работы с SQL (Oracle) Опыт использования средства сборки Maven Используете Jenkins, Git, Jira, Confluence Знакомы с unix-системами Используете методологии гибкой разработки Умение делать код-ревью Умение и желание общаться с коллегами по рабочим вопросам Опыт работы на позиции бэкенд разработчика от 2х лет.  Мы предлагаем:  Дружную и позитивную атмосферу в команде Возможность вносить свой вклад в создание продуктов, которыми пользуются миллионы людей Комбинированный формат работы: офис/удаленка Готовы рассматривать кандидатов из других городов с последующим переездом Удобное расположение офиса в центре С.-Петербурга Полностью «белую» заработную плату, уровень дохода обсуждается индивидуально Льготное, вкусное питание, чай, кофе Совместные SAP-заплывы летом, вылазки на природу. Ключевые навыкиJava SEJava EERESTSOAPHibernate ORMORACLEООПMicroservicesРазработка микросервисовАдресЛиговский проспект, Санкт-Петербург, улица Марата, 51Показать на большой карте",https://hh.ru/vacancy/45752652?from=vacancy_search_list&query=java
HFLabs,Java-разработчик (middle),от 200 000 до 280 000 руб. на руки,1–3 года,"Полная занятость, удаленная работа","['SQL', 'Java', 'Lucene', 'Spring Framework']","Требуемый опыт работы: 1–3 годаПолная занятость, удаленная работаО продукте «Единый клиент» собирает и поддерживает эталонную клиентскую базу для маркетинга, продаж, аналитики и отчетности. Автоматически исправляет ошибки в клиентских данных, отделяет «плохие» данные от «хороших», находит и схлопывает дубли, идентифицирует взаимосвязи. Полезен компаниям с большой клиентской базой: банки, страховые, телеком, медицинские организации, интернет-магазины. «Единый клиент» уже обработал 15 млрд. записей и успешно конкурирует с enterprise-продуктами от Oracle и IBM. 100% собственная разработка HFLabs, 0% «индусского» кода. Мы выпускаем не меньше 12 релизов в год. Кроме разработчиков в команде аналитики, тестировщики и внедренцы. В разработку идут фичи с ясными требованиями от аналитиков, тестировщики не пропускают баги, а до заказчиков продукт доносят внедренцы. В команде плоская структура: нет начальников и подчинённых, нет тимлидов и архитекторов. Идеальный кандидат  Имеет опыт коммерческой разработки на Java не меньше двух лет (с упором на Backend). Знаком со Spring. Знает, что такое профайлер и не пугается слов Sampling, Thread Dump, Heap Dump и Bottleneck. Кроме wait(), notify() и syncronized знает, что есть ещё Barrier, CountDownLatch, BlockingQueue и многое другое. Сходу расскажет, чем отличается LEFT JOIN от RIGHT JOIN. Увидев документацию к библиотеке на английском, читает её, а не запихивает в онлайн-переводчик. Стремится писать код понятным и красивым. Не боится вынуть из постановщика задачи душу, если что-то непонятно. Если видит, как сделать лучше — предлагает. Любит тестировщиков, от багов не отпинывается.  Техническая сторона проекта  Java 11, Stream API, регулярно обновляемые библиотеки. Maven для сборки. Spring как основа проекта. Lucene в качестве быстрого полнотекстового кэша. Oracle DB, PostgreSQL в качестве основной БД. 99% стандартный SQL, никакой «логики на БД». Spring REST на сервере, JS на клиенте (клиентом занимается фронтенд-разработчик).  Какие не-рутинные задачи у нас бывают  Переобработать 100 миллионов физлизц по сложной бизнес-логике так, чтобы переобработка шла не больше 4 часов. Реализовать REST-сервис для интеграции, который будет держать 100 запросов в секунду даже на ""таком себе железе"". Придумать тестовый фреймворк под новый функционал.  Бонусы  Мощная техника (8+ ядер, 32+ оперативки, SSD, 2 монитора) в офисе или мощный ноутбук для удаленной работы. Удобное рабочее место с кондиционером. Гибкий график, возможна полная или частичная удаленная работа. Кофе, чай, фрукты, печеньки. Просторный и тихий офис рядом с м. Парк культуры, кабинет на 2-4 человека. Небольшой коллектив, 40 человек. Любые курсы и конференции по специальности. Ключевые навыкиSQLJavaLuceneSpring Framework",https://hh.ru/vacancy/47198978?from=vacancy_search_list&query=java
ТОО Edge Apps (Эдж Эппс),Java-разработчик,от 500 000 до 1 000 000 KZT до вычета налогов,3–6 лет,"Полная занятость, полный день","['PostgreSQL', 'Java', 'AngularJS']","Требуемый опыт работы: 3–6 летПолная занятость, полный деньОбязанности:  Разработка платформы и основного функционала и баг-фиксинг Разработка интеграции с внешними системами Решение сложных задач Оценка задач и участие в декомпозиции Учиться у сильных, помогать слабым и делиться знаниями  Требования:   Опыт работы с технологиями:  Java Spring Boot, Spring Security Gradle, Maven, Jenkins PostgreSQL GIT опыт работы в среде Linux  Будет плюсом:  RabbitMQ Unit testing Agile подходы при разработке ПО опыт работы с Jira или с другими таск-трекинг системами   Ключевые навыкиPostgreSQLJavaAngularJS",https://hh.ru/vacancy/48484116?from=vacancy_search_list&query=java
SEC corp,Senior Java-разработчик,от 4 000 USD на руки,более 6 лет,"Полная занятость, удаленная работа","['Java', 'Spring Framework', 'Hibernate ORM']","Требуемый опыт работы: более 6 летПолная занятость, удаленная работаЯпонской компании требуется опытный java-разработчик на постоянную основу для удаленной работы над нашими собственными проектами (платформа SMS-агрегатора, а также VoIP-сервис - вирутальная АТС на основе Asterisk) на японском рынке (не игры, не финансы, не гос. проекты). Работа ведется уже более 10 лет, команда разработки составляет около 15 человек - вся русскоязычная, команда территориально расположена в Республике Беларусь (Минск, Витебск), России (разные города), Латвии (Рига). Нашими сервисами ежедневно пользуются многие ведущие компании Японии. Мы используем только java в разработке (ну и совсем немного php). Наши сотрудники ранее работали в Epam, Exadel, Sam Solutions, Белтелеком, банковской сфере, и сейчас работают с нами удаленно уже много лет. Если вам интересна именно долгосрочная, высокооплачиваемая, стабильная удаленная работа в иностранной компании (работа ведется по контракту), и вы - профессионал java, плюс вас не пугают высоконагруженные enterprise-системы, то у нас есть, что вам предложить. Ожидания от кандидата:  Опыт использования Spring, Hibernate/JPA Желателен опыт работы с БД Redis, PostgreSQL Опыт разработки на Angular, а также опыт работы с AWS будет плюсом Опыт работы в agile-сфере / удаленной работы Знание английского языка – чтение, письмо (разговорный не обязателен) Желание работать качественно, мотивированность к саморазвитию в java Готовность работать в небольшой команде, где всем видны ваши результаты Условия:  Достойно высокий уровень оплаты Удаленная работа в полностью русскоязычной команде разработки 4 недели оплачиваемого отпуска в году Полное отсутствие бюрократии Ежегодные бонусы, регулярный пересмотр уровня оплаты по результатам работы, поездки в Токио (не прямо сейчас, что понятно) Непроектная, долговременная работа Интересная работа и лучшая команда Ключевые навыкиJavaSpring FrameworkHibernate ORM",https://hh.ru/vacancy/48397853?from=vacancy_search_list&query=java
