CORE,Data Scientist,от 180 000 до 250 000 руб. на руки,1–3 года,"Полная занятость, удаленная работа","['Python', 'SQL', 'Pandas', 'Numpy', 'Scikit-learn']","Требуемый опыт работы: 1–3 годаПолная занятость, удаленная работаCORE специализируется на разработке в области финансов и страхования. Мы реализуем проекты для международных финтех-стартапов, российских банков и страховых компаний. Сейчас мы ищем Data Scientist для разработки новых, а также доработки и анализа существующих продуктов одного из крупнейших банков России. Обязанности:  Сбор, обработка и визуализация данных; Разработка моделей машинного обучения; Оценка качества и совершенствование моделей; Вывод моделей в продакшн; Презентация результатов работы.  Требования:  Знание и опыт применения классических алгоритмов машинного обучения; Знание алгоритмов глубокого обучения; Владение Python и основными библиотеками для работы с данными: Pandas, Numpy, scikit-learn, Matplotlib/ Seaborn/ Plotly, XGBoost/ CatBoost, Keras/ TensorFlow/ PyTorch; Знание SQL и опыт работы c базами данных; Знание теории вероятностей и математической статистики; Умение работать в команде, ответственность; Умение документировать результаты своей работы.  Условия:  Удаленная работа; Оформление по ТК РФ. Ключевые навыкиPythonSQLPandasNumpyScikit-learn",https://hh.ru/vacancy/48434078?from=vacancy_search_list&query=python
ДАТА+,Разработчик Python,от 80 000 до 120 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Python', 'Git', 'Django Framework', 'Английский язык']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньОбязанности:  Разработка инструментов для обработки и анализа пространственных данных; Разработка сервисов и порталов с использованием Django. Участие в выборе технологий и инструментов; Участие в построении архитектуры серверной части; Взаимодействие с веб-разработчиками.  Требования:  Высшее техническое образование; Опыт разработки на Python 3.x от 1 года; Опыт работы с реляционными БД; Опыт работы с Git. Владение английским языком на уровне чтения технической документации.  Приветствуется:  Опыт работы с Django; Опыт работы с ArcGIS или другими геоинформационными системами.  Условия:  Заработная плата – от 80 000 до 120 000 руб., обсуждается с кандидатом. Гибкое начало рабочего дня с 8-11 утра, возможна удаленная работа Трудоустройство полностью согласно ТК РФ. Стабильная заработная плата. Молодой и дружный коллектив. Карьерное и профессиональное развитие. Офис расположен на Смольной ул., станция метро Беломорская Ключевые навыкиPythonGitDjango FrameworkАнглийский язык",https://hh.ru/vacancy/47750193?from=vacancy_search_list&query=python
ООО Авантренд,Python программист,от 100 000 руб. до вычета налогов,3–6 лет,"Полная занятость, полный день","['Qt', 'Git', 'Python', 'PySide2', 'Medical Image', 'desktop_dev']","Требуемый опыт работы: 3–6 летПолная занятость, полный деньРады приветствовать! Мы ищем талантливого программиста, которому будет интересна работа в направлении медицинской визуализации. Программиста, которого не страшит необходимость разобраться в спецификациях форматов медицинских данных. Ищем того человека, кому будет интересно каждый раз погружаться во все новые медицинские задачи с инженерной стороны.   Задачи и вызовы, которые предстоят:  - работать над программой для просмотра и обработки медицинских изображений; - принимать архитектурные решения и разрабатывать новую функциональность под профильные-медицинские задачи; - писать много кода. Ждем, что наш будущий коллега: - обладает отличным знанием Python; - знает (или готов познакомиться) библиотекой для работы с медицинскими изображениями (pydicom, itk, NiBabel); - имеет опыт работы с Фреймворком Qt или готов его освоить; - имеет работать с системой контроля версий Git (git flow); - имеет высокий уровень ответственности; - умеет декомпозировать и оценивать задачи. - умеет объяснить выбор предлагаемого решения; - самостоятельный, готов доводить свои идеи до практической реализации. БУДЕТ ПЛЮСОМ: - опыт работы с платформой контейнеризации Docker; - опыт работы с PACS-серверами (системы передачи и архивации DICOM изображений). - опыт работы с БД и знание SQL; - наличие портфолио (и готовность рассказать о принятых ключевых решениях проектов из портфолио).   Со своей стороны, предлагаем: - Производительный ПК (Ryzen 5 3600X, GTX 1660 Ti 6Gb, ОЗУ 16Gb). - Оформление по ТК РФ, «Белая заработная плата». - Опыт работы с медицинскими изображениями. - Офис в центре города в 5 мин. от м. Геологическая, в БЦ “Небо”.   О компании Наша компания занимается развитием информационных систем в области анализа и компьютерной обработки медицинских данных (КТ, МРТ, ПЭТ). При содействии профильных медицинских учреждений в рамках экспертного сотрудничества решаются актуальные проблемы в области медицинской диагностики. Проводятся научно-исследовательские работы. Наша главная цель — помочь врачам-радиологам путем автоматизации распознавания сложных закономерностей в данных медицинской визуализации предоставить количественные и качественные оценки признаков радиомики.   Наша компания занимается: - разработкой программного обеспечения, направленного на обработку и анализ результатов медицинской визуализации и иных данных, а также на автоматизацию процессов в области медицины; - научно-исследовательской деятельностью; - решением прикладных медицинских задач, совместно с профильными специалистами.Ключевые навыкиQtGitPythonPySide2Medical Imagedesktop_devАдресГеологическая, Екатеринбург, улица Народной Воли, 65Показать на большой карте",https://hh.ru/vacancy/48296993?from=vacancy_search_list&query=python
ООО Колл-Тулз,Middle Python developer (релокация в Сочи),от 150 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Python', 'jQuery', 'PostgreSQL', 'Django Framework', 'Nginx', 'SQL']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньMiddle Python developer (релокация в Сочи) Привет, кандидат! Мы разрабатываем крутой сервис интерактивной телефонии zvonok.com.В нашу команду ищем Python - разработчика (Middle-уровня). Проект сложный и очень интересный. Вы получите опыт живой бизнес-разработки (вся обратная связь поступает моментально), опыт работы с высоконагруженными системами, практику командной работы с применением современных инструментов и подходов. Вакансия в Сочи, удалённая работа невозможна. Иногородним кандидатам помогаем с переездом: оплачиваем билет и предоставляем квартиру на первый месяц.   Почему именно мы?  У нас действительно интересно работать; Все наши сотрудники - профессионалы своего дела; Гарантируем быстрый профессиональный рост; Наш офис находится в самом центре Сочи (рядом транспорт, море и общепит); Мы предлагаем официальное трудоустройство, оплачиваемые отпуск и больничный; У нас дружный коллектив, интересная корпоративная жизнь, PlayStation и пицца по пятницам; В вашем распоряжении собственный корпоративный катер для прогулок по морю.    Обязанности:  Разработка back-end части (в основном);    Требования:  Опыт разработки на Python; Базовые знания Linux; Понимание, как писать оптимальные запросы к БД; jQuery; Желание учиться и развиваться.    Будет плюсом:  Глубокие знания Linux; Применение кеширования; Знание технологий Nginx, PostgreSQL, Tarantool; Практика применения VueJS; Опыт работы с Docker; Понимание принципов параллельного программирования; Опыт работы с IP-телефонией (Asterisk, FreeSwitch, Kamailio).    Условия:  Зарплата на старте - 150 000 руб на руки; Работа в центре Сочи в комфортном офисе; 5-и дневная рабочая неделя; Официальное трудоустройство, белая зарплата; Свободных график (в пределах разумного); Нет бюрократии. Ключевые навыкиPythonjQueryPostgreSQLDjango FrameworkNginxSQLАдресСочи, микрорайон Центральный, улица Горького, 75Показать на большой карте",https://hh.ru/vacancy/45555166?from=vacancy_search_list&query=python
involve,Python developer,от 60 000 до 100 000 грн. до вычета налогов,3–6 лет,"Полная занятость, полный день","['Python', 'PostgreSQL', 'Flask']","Требуемый опыт работы: 3–6 летПолная занятость, полный день«Involve» — IT-компания, c продуктовым подходом, ориентированная на реализацию качественных fintech-продуктов: платежные системы, агрегаторы платежных систем, проекты по работе с криптовалютами, проект по работе с карточными данными, антифрод система, удаленная верификация, их дальнейшую техническую поддержку и совершенствование. Основными ценностями для нас являются люди и здоровая коммуникация. Мы говорим открыто и честно, признаем ошибки, не повторяем их и учимся на опыте друг друга. Для нас ценен ответственный подход к работе, инициативность, вовлеченность и осознанность, следуем правилу Парето 20\80. В офисе преобладает атмосфера спокойствия, комфорта, заботы и продуктивности. О проекте: Сервис для обмена криптовалют между собой и на валюту(фиат),посредством электронного кошелька или же баланса на бирже.   Технические требования:- коммерческий опыт работы c Python не менее 2-х лет;- опыт работы с Flask;- опыт с PostgreSQL;   Основные задачи:- разработка нового функционала и поддержка старого для сервисов работающих с криптовалютами;- изучение особенностей работы блокчейнов новых криптовалют и интеграция их в сервисы;- интеграция с криптовалютными биржами;- разработка бэк-энда для мобильного приложения и чат-ботов.   Предлагаем:- высокий уровень заработной платы;- официальное оформление(ФОП/трудовая);- здоровая коммуникация;- команда специалистов;- один этап собеседования;- нет требований по английскому языку.Ключевые навыкиPythonPostgreSQLFlask",https://hh.ru/vacancy/48574055?from=vacancy_search_list&query=python
ЭКСПО-ТОРГ,Разработчик Python,от 80 000 руб. на руки,1–3 года,"Полная занятость, полный день",['Английский\xa0— A1 — Начальный'],"Требуемый опыт работы: 1–3 годаПолная занятость, полный деньУсловия:  Работа в крупной стабильной организации; Официальное трудоустройство согласно ТК РФ; График работы скользящий с 9:00 до 18:00; Компенсация фитнеса  Требования:  знание языка Python 3.0+ знание и понимание принципов ООП умение писать многопоточный и асинхронный код хорошие знания языка SQL, умение написать функции и процедуру внутри базы данных опыт веб-разработки на любом веб-фреймворке Django, Flask и т.д. знать и понимать, что такое API, HTTP навыки работы с GIT. умение работать в терминале Linux, знанием команд bash. - умение пользоваться 10100 Не обязательно, но является плюсом: опыт написания телеграм ботов знание HTML, CSS, JavaScript знание Docker, RabbitMQ, CI/CD опыт программирования любого промышленного ПЛК, понимание работы промышленных протоколов Modbus, Profibus и т.д опыт программирования плк Arduino или же ESP, знание C/C++ опыт работы с Raspberry PI  Обязанности:  Разработка приложений и микросервисов на Python. Участие в новых проектах. Поддержка и улучшение действующего кода Ключевые навыкиАнглийский — A1 — НачальныйАдресКотельники, Котельники, микрорайон Ковровый, 37Показать на большой карте",https://hh.ru/vacancy/48396921?from=vacancy_search_list&query=python
ТОО GMN,Intern - Backend Developer (python/стажёр),з/п не указана,не требуется,"Стажировка, полный день","['Python', 'aws']","Требуемый опыт работы: не требуетсяСтажировка, полный деньSilicon Valley startup is hiring a Backend Developer Intern for immediate start for the interesting project.   Responsibilities and requirements:  Python / AWS Web Development principles Assisting to the lead GitLab / GitHub Libraries / Frameworks Research more    The duration of the internship is 2-4 months.Ключевые навыкиPythonaws",https://hh.ru/vacancy/48465240?from=vacancy_search_list&query=python
FunBox,Python-разработчик,от 130 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Python', 'Django', 'Django REST Framework', 'PyTest', 'Git', 'Postgres', 'Linux', 'CI', 'Работа в команде']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньВам предстоит участвовать в разработке сложных (web- и не только) сервисов с объемным бэкендом в профессиональной команде. Мы не являемся ""стартапом"" и не занимаемся ""разработкой сайтов"" под ключ, мы сами поддерживаем свои продукты на протяжении их жизненного цикла, поэтому постоянно совершенствуем процесс разработки. Мы серьезно относимся к code review, тестированию, CI, выделению компонент сервисов и продумыванию их архитектуры и интерфейсов, удобству развертывания. Вам предстоит разрабатывать бэкенд сервисы с использованием Python 3.6+, Django, Django REST Framework, PyTest. При этом мы не считаем никакую из технологий серебряной пулей и по мере необходимости внедряем и используем более специфичные языки и инструменты (Erlang, Java, Go, продукты экосистемы Hadoop, etc.), поэтому у нас вы не станете заложником одного навыка/технологии.. Что нужно уметь:  Хорошо знать Python 3.6+, Django, Django REST Framework, PyTest. Хорошо уметь работать с Postgres, Git. Уверенно владеть Linux на уровне пользователя или выше. Разбираться в чужом коде. Обладать самодисциплиной, не ""забывать"" покрывать свой код тестами и не ""забывать"" прибираться в своем и чужом коде.  Плюсом будет:  опыт работы с Docker; понимание принципов CI, опыт работы с CI/CD; понимание, как работает асинхронный код и опыт работы с ним.  Больше знания конкретных технологий мы ценим ответственность и желание докопаться до сути, сделать код лучше и добиться его корректной работы за пределами сэндбокса. Более конкретная зарплата по результатам собеседования. Условия:   Работа удаленно или в одном из офисов (офисы в Москве, Казани, Ульяновске). Адекватное отношение, защита от лишней бюрократии. Участие в конференциях. Бонусная программа при покупке техники. При работе в одном из наших офисов обеспечиваем стандартным набором офисных благ.    В резюме вместо списка рабочих мест лучше укажите, какими проектами (можно без конкретных названий) вам приходилось заниматься, и какая в этом была ваша роль.  Ключевые навыкиPythonDjangoDjango REST FrameworkPyTestGitPostgresLinuxCIРабота в команде",https://hh.ru/vacancy/46412760?from=vacancy_search_list&query=python
Аспект,Python разработчик (junior middle),з/п не указана,не требуется,"Полная занятость, гибкий график","['Python', 'SQL']","Требуемый опыт работы: не требуетсяПолная занятость, гибкий графикВозможно временное оформление: договор услуг, подряда, ГПХ, самозанятые, ИП  Считается, что программирование — своего рода искусство. А программисты подобны творческим людям — художникам, скульпторам. Отчасти это так. Но программирование — в первую очередь решение сложных задач, которые не под силу обычным людям. И мы решаем именно такие задачи! Нам не нравятся шаблоны. Поэтому у нас есть примеры перевоплощения и юристов и врачей в квалифицированных разработчиков ПО МЫ ведем набор начинающих разработчиков с достойной оплатой труда Всем нашим коллегам мы предлагаем:  конкурентоспособные условия по отрасли и индивидуальны для каждого в компании; использование самых последних технологий и собственные серверные мощности Enterprise-уровня, совсем не тривиальные задачи из реальных отраслей экономики; гибкие методологии и работа без административной бюрократии, увеличенную ценность каждого Человека команды; современный комфортный офис в центре города и удобный график; корпоративные программы спорта и отдыха; открытые и честные условия для дальнейшего профессионального развития и для реализации Ваших амбиций в IT сфере.  Какие предстоит решать задачи:    разработка на Pythone учится разрабатывать программное обеспечение; разрабатывать программное обеспечение;  Нам нужен коллега, обладающий:  знаниями основ одного из языков программирования: Python знаниями основ SQL аналитическими способностями способностями находить верные решения  Мы открыты к индивидуальным диалогам в любом формате с каждым соискателем! Добро пожаловать!       Доступно соискателям с инвалидностью Ключевые навыкиPythonSQLАдресРязань, улица КудрявцеваПоказать на большой карте",https://hh.ru/vacancy/48497067?from=vacancy_search_list&query=python
Spice Agency,Python developer,до 400 000 руб. на руки,1–3 года,"Полная занятость, полный день","['Python', 'Django Framework', 'SQL', 'Git', 'Flask']","Требуемый опыт работы: 1–3 годаПолная занятость, полный деньКомпания, которая занимается разработкой классного приложения с работой над видеоэффектами, ищет в свою дружную команду Python-разработчика. Что предстоит:  Проектировать и разрабатывать архитектуру данных (сбор и хранение аналитики; авторизация пользователей); Перенос контента с приложения на Backend; Выводить логику панели для менеджеров (фронтовая часть работы); R&D по развитию мобильного и web продукта; Взаимодействие с frontend разработчиками, согласование протоколов обмена данными; Покрытие тестами разработанного ПО, участие в документировании платформы; Интеграция со сторонними решениями и анализ сопутствующей документации.  Чего мы ждем:  Опыт работы в мобильной и веб разработке от 2 лет; Уверенное знание и применение python фреймворков: django, flask, etc.(в т.ч. с применением REST API); Опыт работы с реляционными СУБД, базовые знания SQL.  Что предлагаем:  Оформление ТК РФ; Полностью удаленная работа; Зарплатная вилка открыта. Готовы учитывать Ваши зарплатные ожидания; Драйвовая команда с отлаженными, но гибкими бизнес-процессам; Гибкий график работы. Ключевые навыкиPythonDjango FrameworkSQLGitFlask",https://hh.ru/vacancy/47322083?from=vacancy_search_list&query=python
